product_id,product_name,brand,category,subcategory,price_eur,pack_size,private_label,shade_group,seasonality,attributes,launch_season,shelf_space_cm,supplier,ean
HC0053,Herbatint Royal Cream Mocha Brown,Herbatint,Beauty > Hair Coloration,Permanent Color,7.3,150 ml,False,Dark Brown,Evergreen,oil-infused; salon inspired,2024-Q1,6,SalonPro Distribution,4070547409129
HC0054,got2b Metallics Coral Rose,got2b,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,5.48,100 ml,False,Summer,Summer,wash-out; high pigment,2024-Q2,10,Indie Color Imports,4026395910527
HC0055,Arctic Fox Resurrected Sunlit Peach,Arctic Fox,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,13.94,150 ml,False,Summer,Summer,wash-out; direct dye,2024-Q4,10,Henkel Beauty Care,4095036810051
HC0056,dpHUE Root Touch-Up Kit Chestnut Brown,dpHUE,Beauty > Hair Coloration,Root Touch-Up,29.35,1 kit,False,Medium Brown,Evergreen,grey coverage; 10 minute,2024-Q1,5,Coty DACH,4054780237270
HC0057,Madison Reed Color Reviving Gloss Electric Blue,Madison Reed,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,33.59,200 ml,False,Vivid,Evergreen,wash-out; vegan,2025-Q3,12,Beauty Direct EU,4064453304065
HC0058,eSalon Camo Mist Graphite,eSalon,Beauty > Hair Coloration,Bleach / Lightener,31.33,2 x 1 kit,False,Silver/Grey,Evergreen,cream bleach; blue powder,2024-Q1,12,P&G Beauty,4085488203494
HC0059,dpHUE Root Touch-Up Kit Lavender Mist,dpHUE,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,25.69,100 ml,False,Pastel,Evergreen,high pigment; direct dye,2024-Q3,5,Coty DACH,4017577301071
HC0060,Manic Panic Amplified Lavender Mist,Manic Panic,Beauty > Hair Coloration,Permanent Color,5.26,100 ml,False,Pastel,Evergreen,grey coverage; oil-infused,2024-Q2,6,Indie Color Imports,4023156437852
HC0061,Arctic Fox Semi Permanent Beach Blonde,Arctic Fox,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,12.45,2 x 1 kit,False,Summer,Summer,direct dye; wash-out,2024-Q2,8,P&G Beauty,4084603269877
HC0062,Madison Reed Radiant Hair Color Dark Blonde,Madison Reed,Beauty > Hair Coloration,Root Touch-Up,27.37,200 ml,False,Blonde,Evergreen,10 minute; brush-on,2024-Q4,5,Coty DACH,4091285157445
HC0063,Clairol Natural Instincts Honey Blonde,Clairol,Beauty > Hair Coloration,Permanent Color,11.23,200 ml,False,Blonde,Evergreen,salon inspired; oil-infused,2024-Q2,4,Henkel Beauty Care,4094319633817
HC0064,Naturtint Root Retouch Pearl Blonde,Naturtint,Beauty > Hair Coloration,Permanent Color,17.04,1 kit,False,Ash Blonde,Evergreen,oil-infused; ammonia-free,2025-Q3,5,Labo Natural,4020681443983
HC0065,Manic Panic Classic Cream Neon Green,Manic Panic,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,9.24,1 kit,False,Vivid,Evergreen,high pigment; no peroxide,2024-Q1,5,Henkel Beauty Care,4022567662557
HC0066,Crazy Color Semi Permanent Silver Grey,Crazy Color,Beauty > Hair Coloration,Toner / Gloss,15.82,200 ml,False,Silver/Grey,Evergreen,brass neutralising; shine boost,2025-Q2,10,SalonPro Distribution,4052463977186
HC0067,Schwarzkopf Poly Palette Smoky Blonde,Schwarzkopf,Beauty > Hair Coloration,Toner / Gloss,14.7,60 ml,False,Ash Blonde,Evergreen,clear gloss; shine boost,2025-Q2,8,Labo Natural,4030153525599
HC0068,Bleach London Super Cool Colour Mulled Wine,Bleach London,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,13.74,200 ml,False,Winter,Winter,high pigment; wash-out,2024-Q2,12,Coty DACH,4079883197032
HC0069,ZenBeauty Private Label Root Fix Dark Blonde,ZenBeauty Private Label,Beauty > Hair Coloration,Toner / Gloss,4.63,200 ml,True,Blonde,Evergreen,colour refresh; clear gloss,2024-Q4,8,Own Brand Sourcing GmbH,4092354060591
HC0070,Wella Blondor Light Blonde,Wella,Beauty > Hair Coloration,Permanent Color,12.3,60 ml,False,Blonde,Evergreen,multi-application; grey coverage,2024-Q1,10,SalonPro Distribution,4093751379654
HC0071,got2b Metallics Dark Blonde,got2b,Beauty > Hair Coloration,Root Touch-Up,18.36,200 ml,False,Blonde,Evergreen,brush-on; temporary,2025-Q2,6,Henkel Beauty Care,4067328594535
HC0072,Clairol Nice'n Easy Apricot Copper,Clairol,Beauty > Hair Coloration,Toner / Gloss,8.37,1 kit,False,Copper,Evergreen,colour refresh; bonding,2025-Q1,5,Henkel Beauty Care,4023709118430
HC0073,Directions Semi Permanent Pearl Blonde,Directions,Beauty > Hair Coloration,Bleach / Lightener,7.61,2 x 1 kit,False,Ash Blonde,Evergreen,cream bleach; bond builder,2024-Q1,10,Indie Color Imports,4081037568622
HC0074,got2b Metallics Ruby Red,got2b,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,15.57,100 ml,False,Red,Evergreen,no peroxide; high pigment,2024-Q4,12,Coty DACH,4038601592369
HC0075,Crazy Color Platinum Toner Honey Blonde,Crazy Color,Beauty > Hair Coloration,Root Touch-Up,9.11,150 ml,False,Blonde,Evergreen,brush-on; 10 minute,2024-Q1,5,P&G Beauty,4078339305002
HC0076,Goldwell Colorance Coral Rose,Goldwell,Beauty > Hair Coloration,Root Touch-Up,13.38,1 kit,False,Summer,Summer,grey coverage; temporary,2024-Q2,5,Labo Natural,4014480147404
HC0077,Garnier Movida Lavender Mist,Garnier,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,12.11,100 ml,False,Pastel,Evergreen,direct dye; no peroxide,2024-Q3,6,SalonPro Distribution,4066734755995
HC0078,Madison Reed Color Reviving Gloss Neon Green,Madison Reed,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,31.72,150 ml,False,Vivid,Evergreen,no peroxide; high pigment,2024-Q3,10,P&G Beauty,4073386879800
HC0079,John Frieda Defy Grey Dark Blonde,John Frieda,Beauty > Hair Coloration,Permanent Color,13.42,1 kit,False,Blonde,Evergreen,oil-infused; salon inspired,2024-Q1,12,Henkel Beauty Care,4033782782876
HC0080,Directions Pastel Toner Neon Green,Directions,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,17.66,1 kit,False,Vivid,Evergreen,no peroxide; vegan,2025-Q3,4,Coty DACH,4080802799567
HC0081,Schwarzkopf Brilliance Light Blonde,Schwarzkopf,Beauty > Hair Coloration,Permanent Color,12.37,200 ml,False,Blonde,Evergreen,grey coverage; salon inspired,2024-Q1,5,Henkel Beauty Care,4073227944788
HC0082,Goldwell Topchic Coral Rose,Goldwell,Beauty > Hair Coloration,Bleach / Lightener,13.58,100 ml,False,Summer,Summer,bond builder; cream bleach,2025-Q1,6,Indie Color Imports,4037569679713
HC0083,Madison Reed Root Touch Up Pearl Blonde,Madison Reed,Beauty > Hair Coloration,Permanent Color,23.71,200 ml,False,Ash Blonde,Evergreen,salon inspired; ammonia-free,2025-Q2,6,SalonPro Distribution,4053422690035
HC0084,Crazy Color Semi Permanent Smoky Blonde,Crazy Color,Beauty > Hair Coloration,Root Touch-Up,17.58,150 ml,False,Ash Blonde,Evergreen,grey coverage; 10 minute,2024-Q1,5,Coty DACH,4069003177800
HC0085,Bleach London White Toner Deep Auburn,Bleach London,Beauty > Hair Coloration,Root Touch-Up,15.3,1 kit,False,Auburn,Evergreen,temporary; brush-on,2024-Q2,8,Beauty Direct EU,4043893155242
HC0086,ZenBeauty Private Label Nature Color Neon Green,ZenBeauty Private Label,Beauty > Hair Coloration,Root Touch-Up,4.58,200 ml,True,Vivid,Evergreen,10 minute; grey coverage,2024-Q1,8,Own Brand Sourcing GmbH,4076937461549
HC0087,Manic Panic High Voltage Sunlit Peach,Manic Panic,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,13.1,1 kit,False,Summer,Summer,wash-out; no peroxide,2024-Q4,5,Henkel Beauty Care,4072747039324
HC0088,got2b Metallics Electric Blue,got2b,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,18.78,2 x 1 kit,False,Vivid,Evergreen,wash-out; no peroxide,2024-Q4,6,Coty DACH,4070715395505
HC0089,Manic Panic High Voltage Caramel Brown,Manic Panic,Beauty > Hair Coloration,Root Touch-Up,8.85,2 x 1 kit,False,Medium Brown,Evergreen,spray; 10 minute,2024-Q2,12,SalonPro Distribution,4036928132973
HC0090,Naturtint Permanent Hair Color Honey Blonde,Naturtint,Beauty > Hair Coloration,Root Touch-Up,14.99,150 ml,False,Blonde,Evergreen,spray; temporary,2024-Q2,4,P&G Beauty,4090282432911
HC0091,Herbatint Vegetal Color Neon Green,Herbatint,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,8.96,60 ml,False,Vivid,Evergreen,wash-out; high pigment,2024-Q3,5,Henkel Beauty Care,4072128996717
HC0092,Madison Reed Color Reviving Gloss Caramel Brown,Madison Reed,Beauty > Hair Coloration,Permanent Color,34.09,100 ml,False,Medium Brown,Evergreen,ammonia-free; salon inspired,2024-Q2,6,Labo Natural,4092872087669
HC0093,Wella Color Fresh Pearl Blonde,Wella,Beauty > Hair Coloration,Color Care Add-on,13.1,200 ml,False,Ash Blonde,Evergreen,UV protection; bond repair,2025-Q3,12,Coty DACH,4095696452277
HC0094,Revlon Colorsilk Espresso Brown,Revlon,Beauty > Hair Coloration,Permanent Color,8.15,150 ml,False,Dark Brown,Evergreen,oil-infused; salon inspired,2025-Q1,10,Coty DACH,4043736985384
HC0095,Garnier Olia Neon Green,Garnier,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,15.86,200 ml,False,Vivid,Evergreen,vegan; direct dye,2024-Q4,10,Henkel Beauty Care,4040046149546
HC0096,eSalon Custom Color Set Mocha Brown,eSalon,Beauty > Hair Coloration,Permanent Color,28.01,1 kit,False,Dark Brown,Evergreen,ammonia-free; multi-application,2024-Q4,8,Indie Color Imports,4011199029793
HC0097,ZenBeauty Private Label Gloss Lab Beach Blonde,ZenBeauty Private Label,Beauty > Hair Coloration,Toner / Gloss,5.77,100 ml,True,Summer,Summer,shine boost; colour refresh,2025-Q2,8,Own Brand Sourcing GmbH,4041124142698
HC0098,Schwarzkopf Brilliance Light Golden Brown,Schwarzkopf,Beauty > Hair Coloration,Color Care Add-on,10.74,200 ml,False,Light Brown,Evergreen,sulfate-free; UV protection,2024-Q4,10,P&G Beauty,4091292906211
HC0099,Kristin Ess Rose Gold Temporary Tint Chestnut Brown,Kristin Ess,Beauty > Hair Coloration,Permanent Color,25.73,2 x 1 kit,False,Medium Brown,Evergreen,multi-application; oil-infused,2025-Q1,4,Coty DACH,4014484908787
HC0100,eSalon Camo Mist Warm Auburn,eSalon,Beauty > Hair Coloration,Root Touch-Up,30.11,60 ml,False,Auburn,Evergreen,spray; grey coverage,2025-Q2,10,Labo Natural,4065978974025
HC0101,Bleach London White Toner Cool Ash Blonde,Bleach London,Beauty > Hair Coloration,Permanent Color,16.54,60 ml,False,Ash Blonde,Evergreen,oil-infused; ammonia-free,2024-Q4,8,Indie Color Imports,4070550445523
HC0102,dpHUE Color Boosting Gloss Ultra Violet,dpHUE,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,29.51,1 kit,False,Vivid,Evergreen,wash-out; direct dye,2024-Q2,4,Labo Natural,4068977573003
HC0103,Arctic Fox Resurrected Almond Brown,Arctic Fox,Beauty > Hair Coloration,Root Touch-Up,9.49,2 x 1 kit,False,Light Brown,Evergreen,10 minute; spray,2024-Q2,6,Coty DACH,4041335181282
HC0104,Herbatint Vegetal Color Dark Blonde,Herbatint,Beauty > Hair Coloration,Root Touch-Up,7.85,100 ml,False,Blonde,Evergreen,10 minute; grey coverage,2024-Q1,4,SalonPro Distribution,4032784099734
HC0105,Bleach London Total Bleach Hazelnut Brown,Bleach London,Beauty > Hair Coloration,Permanent Color,12.14,100 ml,False,Medium Brown,Evergreen,ammonia-free; grey coverage,2024-Q4,10,SalonPro Distribution,4090518983238
HC0106,Madison Reed Radiant Hair Color Caramel Brown,Madison Reed,Beauty > Hair Coloration,Permanent Color,25.13,150 ml,False,Medium Brown,Evergreen,grey coverage; salon inspired,2024-Q4,8,Henkel Beauty Care,4030494875319
HC0107,Kristin Ess Rose Gold Temporary Tint Light Blonde,Kristin Ess,Beauty > Hair Coloration,Color Care Add-on,26.09,300 ml,False,Blonde,Evergreen,mask; UV protection,2025-Q2,8,Beauty Direct EU,4060987926731
HC0108,Bleach London White Toner Mushroom Brown,Bleach London,Beauty > Hair Coloration,Toner / Gloss,5.98,100 ml,False,Light Brown,Evergreen,clear gloss; bonding,2024-Q4,12,SalonPro Distribution,4012720442203
HC0109,Revlon Colorsilk Electric Blue,Revlon,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,8.57,150 ml,False,Vivid,Evergreen,direct dye; wash-out,2025-Q2,4,Beauty Direct EU,4055916424361
HC0110,Herbatint Permanent Herbal Color Caramel Brown,Herbatint,Beauty > Hair Coloration,Permanent Color,12.86,2 x 1 kit,False,Medium Brown,Evergreen,ammonia-free; oil-infused,2024-Q1,6,Indie Color Imports,4095667827828
HC0111,dpHUE Root Touch-Up Kit Electric Blue,dpHUE,Beauty > Hair Coloration,Bleach / Lightener,24.16,2 x 1 kit,False,Vivid,Evergreen,cream bleach; bond builder,2025-Q1,5,Indie Color Imports,4091952095053
HC0112,Manic Panic High Voltage Smoky Blonde,Manic Panic,Beauty > Hair Coloration,Permanent Color,5.84,60 ml,False,Ash Blonde,Evergreen,salon inspired; grey coverage,2025-Q2,4,P&G Beauty,4023106361494
HC0113,Crazy Color Platinum Toner Blue Black,Crazy Color,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,14.55,100 ml,False,Black,Evergreen,wash-out; direct dye,2024-Q3,8,Labo Natural,4016954125223
HC0114,Arctic Fox Resurrected Espresso Brown,Arctic Fox,Beauty > Hair Coloration,Root Touch-Up,14.45,150 ml,False,Dark Brown,Evergreen,brush-on; spray,2024-Q3,5,P&G Beauty,4085798324386
HC0115,Crazy Color Rainbow Care Pearl Blonde,Crazy Color,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,11.67,2 x 1 kit,False,Ash Blonde,Evergreen,vegan; wash-out,2024-Q1,10,SalonPro Distribution,4028059103086
HC0116,got2b Color Pop Hazelnut Brown,got2b,Beauty > Hair Coloration,Permanent Color,11.84,100 ml,False,Medium Brown,Evergreen,oil-infused; ammonia-free,2024-Q2,10,P&G Beauty,4096387072431
HC0117,Madison Reed Radiant Hair Color Electric Blue,Madison Reed,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,28.79,100 ml,False,Vivid,Evergreen,vegan; wash-out,2025-Q2,10,Labo Natural,4038788494131
HC0118,eSalon Custom Color Set Pearl Blonde,eSalon,Beauty > Hair Coloration,Toner / Gloss,26.93,150 ml,False,Ash Blonde,Evergreen,shine boost; bonding,2025-Q2,5,Beauty Direct EU,4058621021867
HC0119,dpHUE Gloss+ Mocha Brown,dpHUE,Beauty > Hair Coloration,Root Touch-Up,25.7,200 ml,False,Dark Brown,Evergreen,temporary; brush-on,2025-Q1,12,P&G Beauty,4046176205120
HC0120,Madison Reed Radiant Hair Color Light Blonde,Madison Reed,Beauty > Hair Coloration,Permanent Color,30.82,150 ml,False,Blonde,Evergreen,ammonia-free; multi-application,2024-Q1,6,Henkel Beauty Care,4071612279028
HC0121,Schwarzkopf Brilliance Cool Ash Blonde,Schwarzkopf,Beauty > Hair Coloration,Toner / Gloss,10.58,2 x 1 kit,False,Ash Blonde,Evergreen,shine boost; bonding,2025-Q1,10,Labo Natural,4026447834239
HC0122,Clairol Root Touch-Up Chestnut Brown,Clairol,Beauty > Hair Coloration,Permanent Color,9.22,200 ml,False,Medium Brown,Evergreen,oil-infused; multi-application,2025-Q2,10,Labo Natural,4071384807988
