product_id,product_name,brand,category,subcategory,shade_group,seasonality,status,stock_status,private_label,price_eur,pack_size,attributes,channel_revenue_eur_12w,channel_units_sold_12w,channel_margin_pct,channel_sales_trend_12w_pct,market_revenue_eur_12w,market_units_sold_12w,market_sales_trend_12w_pct
HC0001,Schwarzkopf Brilliance Icy Plum Winter Edition,Schwarzkopf,Beauty > Hair Coloration,Permanent Color,Winter,Winter,aktiv,in_stock,False,15.23,200 ml,grey coverage; oil-infused,12850.0,843,0.348,-0.99,181000.0,11884,0.18
HC0013,Naturtint Root Retouch Espresso Brown,Naturtint,Beauty > Hair Coloration,Permanent Color,Dark Brown,Evergreen,aktiv,in_stock,False,11.82,60 ml,salon inspired; grey coverage,6807.24,602,0.558,0.241,105354.34,7579,0.115
HC0014,Manic Panic High Voltage Chestnut Brown,Manic Panic,Beauty > Hair Coloration,Permanent Color,Medium Brown,Evergreen,inaktiv,in_stock,False,14.16,2 x 1 kit,oil-infused; grey coverage,5542.42,365,0.5,-0.273,125166.7,7717,-0.305
HC0015,Naturtint Root Retouch Cool Ash Blonde,Naturtint,Beauty > Hair Coloration,Permanent Color,Ash Blonde,Evergreen,aktiv,in_stock,False,7.38,2 x 1 kit,salon inspired; multi-application,22999.65,3083,0.208,0.323,225683.01,28298,0.269
HC0016,Schwarzkopf Live Coral Rose,Schwarzkopf,Beauty > Hair Coloration,Permanent Color,Summer,Summer,aktiv,low_stock,False,5.04,60 ml,grey coverage; multi-application,11161.19,2579,0.198,-0.014,267015.36,46914,-0.007
HC0017,Manic Panic Amplified Smoky Blonde,Manic Panic,Beauty > Hair Coloration,Permanent Color,Ash Blonde,Evergreen,aktiv,in_stock,False,14.93,1 kit,ammonia-free; multi-application,5904.27,394,0.451,0.453,65408.58,5358,0.495
HC0018,Madison Reed Root Touch Up Warm Auburn,Madison Reed,Beauty > Hair Coloration,Permanent Color,Auburn,Evergreen,aktiv,in_stock,False,22.41,100 ml,ammonia-free; salon inspired,6059.05,289,0.507,0.301,50463.03,2141,0.363
HC0019,Herbatint Permanent Herbal Color Light Blonde,Herbatint,Beauty > Hair Coloration,Men's Color,Blonde,Evergreen,aktiv,in_stock,False,12.84,200 ml,foam; natural finish,1509.07,135,0.491,-0.231,45135.75,4212,-0.122
HC0020,Syoss Root Retoucher Mahogany Auburn,Syoss,Beauty > Hair Coloration,Root Touch-Up,Auburn,Evergreen,aktiv,in_stock,False,17.42,200 ml,brush-on; spray,1206.98,77,0.291,0.328,34902.62,2360,0.322
HC0021,Naturtint Permanent Hair Color Silver Grey,Naturtint,Beauty > Hair Coloration,Permanent Color,Silver/Grey,Evergreen,aktiv,low_stock,False,14.55,100 ml,ammonia-free; multi-application,12414.74,850,0.414,0.246,164441.87,13643,0.374
HC0022,Madison Reed Color Reviving Gloss Mulled Wine,Madison Reed,Beauty > Hair Coloration,Toner / Gloss,Winter,Winter,aktiv,low_stock,False,33.35,150 ml,shine boost; colour refresh,2148.67,71,0.548,0.531,54053.15,1909,0.543
HC0023,Manic Panic High Voltage Mushroom Brown,Manic Panic,Beauty > Hair Coloration,Permanent Color,Light Brown,Evergreen,inaktiv,in_stock,False,11.08,2 x 1 kit,ammonia-free; salon inspired,1256.71,115,0.201,0.502,33080.7,3394,0.403
HC0024,Herbatint Permanent Herbal Color Natural Black,Herbatint,Beauty > Hair Coloration,Permanent Color,Black,Evergreen,aktiv,out_of_stock,False,6.15,200 ml,oil-infused; salon inspired,30499.52,5462,0.246,-0.139,522888.84,97776,-0.111
HC0025,ZenBeauty Private Label Gloss Lab Cool Ash Blonde,ZenBeauty Private Label,Beauty > Hair Coloration,Permanent Color,Ash Blonde,Evergreen,aktiv,in_stock,True,4.6,200 ml,multi-application; oil-infused,6094.85,1507,0.585,0.379,87011.15,16030,0.454
HC0026,Arctic Fox Bleach Please Apricot Copper,Arctic Fox,Beauty > Hair Coloration,Root Touch-Up,Copper,Evergreen,inaktiv,in_stock,False,8.53,1 kit,grey coverage; 10 minute,2850.49,322,0.322,-0.192,42458.73,5074,-0.271
HC0027,Crazy Color Platinum Toner Chocolate Brown,Crazy Color,Beauty > Hair Coloration,Color Care Add-on,Dark Brown,Evergreen,aktiv,low_stock,False,14.5,200 ml,bond repair; mask,1822.41,120,0.369,0.081,30682.39,2246,0.054
HC0028,Madison Reed Radiant Hair Color Chocolate Brown,Madison Reed,Beauty > Hair Coloration,Permanent Color,Dark Brown,Evergreen,aktiv,in_stock,False,30.03,150 ml,ammonia-free; salon inspired,1610.4,63,0.298,-0.089,43328.99,1694,-0.16
HC0029,ZenBeauty Private Label Color Studio Frosted Chestnut,ZenBeauty Private Label,Beauty > Hair Coloration,Permanent Color,Winter,Winter,aktiv,low_stock,True,6.38,150 ml,oil-infused; multi-application,8747.53,1206,0.528,0.146,197544.64,28228,0.189
HC0030,got2b Bright/Pastel Hazelnut Brown,got2b,Beauty > Hair Coloration,Men's Color,Medium Brown,Evergreen,aktiv,in_stock,False,5.93,200 ml,grey blending; 5 minute,2503.54,381,0.456,0.02,35056.88,5816,-0.148
HC0031,Herbatint Royal Cream Ultra Violet,Herbatint,Beauty > Hair Coloration,Bleach / Lightener,Vivid,Evergreen,aktiv,in_stock,False,10.65,2 x 1 kit,up to 8 levels; cream bleach,2044.27,183,0.408,-0.161,16480.26,1759,-0.296
HC0032,Arctic Fox Bleach Please Soft Black,Arctic Fox,Beauty > Hair Coloration,Permanent Color,Black,Evergreen,aktiv,in_stock,False,4.87,60 ml,salon inspired; oil-infused,2674.04,624,0.485,-0.275,29766.46,6474,-0.268
HC0033,Directions Pastel Toner Mushroom Brown,Directions,Beauty > Hair Coloration,Color Care Add-on,Light Brown,Evergreen,inaktiv,in_stock,False,16.93,150 ml,UV protection; bond repair,533.73,31,0.309,0.52,22010.83,1224,0.486
HC0034,Manic Panic Classic Cream Light Blonde,Manic Panic,Beauty > Hair Coloration,Permanent Color,Blonde,Evergreen,inaktiv,in_stock,False,7.44,1 kit,ammonia-free; oil-infused,24277.45,3469,0.243,0.101,196865.95,24017,0.12
HC0035,Syoss Root Retoucher Dark Blonde,Syoss,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,Blonde,Evergreen,aktiv,low_stock,False,16.59,100 ml,no peroxide; high pigment,2935.23,167,0.346,0.484,81023.35,5643,0.487
HC0036,Clairol Root Touch-Up Almond Brown,Clairol,Beauty > Hair Coloration,Root Touch-Up,Light Brown,Evergreen,inaktiv,in_stock,False,11.09,100 ml,spray; temporary,2758.51,215,0.462,0.361,41589.73,4256,0.32
HC0037,Garnier Color Sensation Sunlit Peach,Garnier,Beauty > Hair Coloration,Permanent Color,Summer,Summer,aktiv,in_stock,False,5.94,100 ml,salon inspired; ammonia-free,15733.19,2876,0.562,0.177,109380.26,19153,0.316
HC0038,ZenBeauty Private Label Color Studio Coral Rose,ZenBeauty Private Label,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,Summer,Summer,aktiv,in_stock,True,4.49,200 ml,high pigment; direct dye,81.09,16,0.467,-0.275,9685.34,2125,-0.236
HC0039,ZenBeauty Private Label Root Fix Caramel Brown,ZenBeauty Private Label,Beauty > Hair Coloration,Root Touch-Up,Medium Brown,Evergreen,inaktiv,in_stock,True,4.78,60 ml,brush-on; 10 minute,3337.31,800,0.546,-0.213,48743.45,9072,-0.187
HC0040,Kristin Ess Hair Gloss Dark Blonde,Kristin Ess,Beauty > Hair Coloration,Permanent Color,Blonde,Evergreen,aktiv,in_stock,False,32.32,150 ml,ammonia-free; multi-application,1234.08,42,0.235,-0.353,27207.41,931,-0.307
HC0041,Clairol Natural Instincts Chestnut Brown,Clairol,Beauty > Hair Coloration,Permanent Color,Medium Brown,Evergreen,aktiv,in_stock,False,15.89,2 x 1 kit,grey coverage; oil-infused,21389.25,1589,0.298,0.42,192114.57,14935,0.53
HC0042,Bleach London Super Cool Colour Mahogany Auburn,Bleach London,Beauty > Hair Coloration,Root Touch-Up,Auburn,Evergreen,aktiv,in_stock,False,9.83,100 ml,temporary; brush-on,6215.99,641,0.557,-0.122,88514.17,9714,-0.082
HC0043,Manic Panic High Voltage Blue Black,Manic Panic,Beauty > Hair Coloration,Permanent Color,Black,Evergreen,aktiv,out_of_stock,False,5.9,1 kit,multi-application; grey coverage,7330.8,1123,0.22,0.039,109929.08,18384,0.006
HC0044,Arctic Fox Bleach Please Hazelnut Brown,Arctic Fox,Beauty > Hair Coloration,Root Touch-Up,Medium Brown,Evergreen,aktiv,low_stock,False,12.38,60 ml,spray; grey coverage,11262.55,918,0.437,0.147,99444.58,8821,-0.025
HC0045,Wella Blondor Silver Grey,Wella,Beauty > Hair Coloration,Toner / Gloss,Silver/Grey,Evergreen,aktiv,in_stock,False,13.06,2 x 1 kit,colour refresh; shine boost,62.66,4,0.275,-0.126,1810.76,160,-0.243
HC0046,ZenBeauty Private Label Nature Color Spiced Copper,ZenBeauty Private Label,Beauty > Hair Coloration,Root Touch-Up,Copper,Evergreen,aktiv,in_stock,True,7.91,150 ml,brush-on; grey coverage,11625.93,1455,0.657,-0.377,81249.38,11388,-0.528
HC0047,Kristin Ess Rose Gold Temporary Tint Dark Blonde,Kristin Ess,Beauty > Hair Coloration,Men's Color,Blonde,Evergreen,aktiv,in_stock,False,20.82,1 kit,natural finish; grey blending,5693.9,272,0.339,0.28,92780.43,5224,0.213
HC0048,Wella Shinefinity Espresso Brown,Wella,Beauty > Hair Coloration,Permanent Color,Dark Brown,Evergreen,aktiv,in_stock,False,18.78,60 ml,grey coverage; salon inspired,11998.89,710,0.468,0.518,153981.1,9762,0.554
HC0049,Directions Colour Kit Chocolate Brown,Directions,Beauty > Hair Coloration,Permanent Color,Dark Brown,Evergreen,aktiv,in_stock,False,12.81,60 ml,grey coverage; ammonia-free,232.27,19,0.316,-0.444,6113.87,448,-0.311
HC0050,Wella Shinefinity Pearl Blonde,Wella,Beauty > Hair Coloration,Toner / Gloss,Ash Blonde,Evergreen,aktiv,in_stock,False,15.53,60 ml,clear gloss; bonding,10832.57,612,0.35,0.157,210625.26,13554,0.126
HC0051,Syoss Gloss Sensation Smoky Blonde,Syoss,Beauty > Hair Coloration,Permanent Color,Ash Blonde,Evergreen,aktiv,in_stock,False,7.69,1 kit,ammonia-free; oil-infused,47004.95,5471,0.272,0.109,687963.6,93010,0.169
HC0052,Schwarzkopf Brilliance Soft Black,Schwarzkopf,Beauty > Hair Coloration,Root Touch-Up,Black,Evergreen,aktiv,in_stock,False,14.78,100 ml,brush-on; grey coverage,81.19,6,0.518,-0.207,18033.59,1024,-0.175
HC0053,Herbatint Royal Cream Mocha Brown,Herbatint,Beauty > Hair Coloration,Permanent Color,Dark Brown,Evergreen,aktiv,out_of_stock,False,7.3,150 ml,oil-infused; salon inspired,16742.67,2154,0.241,0.309,132930.6,15989,0.156
HC0054,got2b Metallics Coral Rose,got2b,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,Summer,Summer,aktiv,low_stock,False,5.48,100 ml,wash-out; high pigment,2303.97,423,0.513,-0.373,40074.82,6037,-0.242
HC0055,Arctic Fox Resurrected Sunlit Peach,Arctic Fox,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,Summer,Summer,aktiv,in_stock,False,13.94,150 ml,wash-out; direct dye,1582.81,110,0.382,-0.277,29029.41,2335,-0.368
HC0056,dpHUE Root Touch-Up Kit Chestnut Brown,dpHUE,Beauty > Hair Coloration,Root Touch-Up,Medium Brown,Evergreen,aktiv,in_stock,False,29.35,1 kit,grey coverage; 10 minute,5464.98,179,0.237,-0.1,138925.59,5027,0.068
HC0057,Madison Reed Color Reviving Gloss Electric Blue,Madison Reed,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,Vivid,Evergreen,aktiv,in_stock,False,33.59,200 ml,wash-out; vegan,2632.99,71,0.242,-0.154,45630.62,1698,-0.05
HC0058,eSalon Camo Mist Graphite,eSalon,Beauty > Hair Coloration,Bleach / Lightener,Silver/Grey,Evergreen,aktiv,in_stock,False,31.33,2 x 1 kit,cream bleach; blue powder,2917.35,93,0.479,-0.001,56980.41,1688,0.011
HC0059,dpHUE Root Touch-Up Kit Lavender Mist,dpHUE,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,Pastel,Evergreen,aktiv,in_stock,False,25.69,100 ml,high pigment; direct dye,1404.61,53,0.465,0.066,18131.3,861,-0.069
HC0060,Manic Panic Amplified Lavender Mist,Manic Panic,Beauty > Hair Coloration,Permanent Color,Pastel,Evergreen,aktiv,low_stock,False,5.26,100 ml,grey coverage; oil-infused,9034.53,1964,0.497,-0.312,68641.57,14256,-0.389
HC0061,Arctic Fox Semi Permanent Beach Blonde,Arctic Fox,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,Summer,Summer,aktiv,in_stock,False,12.45,2 x 1 kit,direct dye; wash-out,72.03,6,0.224,0.455,8938.04,722,0.49
HC0062,Madison Reed Radiant Hair Color Dark Blonde,Madison Reed,Beauty > Hair Coloration,Root Touch-Up,Blonde,Evergreen,aktiv,in_stock,False,27.37,200 ml,10 minute; brush-on,0.0,0,0.479,-0.093,1061.98,37,-0.249
HC0063,Clairol Natural Instincts Honey Blonde,Clairol,Beauty > Hair Coloration,Permanent Color,Blonde,Evergreen,inaktiv,in_stock,False,11.23,200 ml,salon inspired; oil-infused,19509.44,1655,0.26,-0.408,394527.02,28797,-0.252
HC0064,Naturtint Root Retouch Pearl Blonde,Naturtint,Beauty > Hair Coloration,Permanent Color,Ash Blonde,Evergreen,aktiv,in_stock,False,17.04,1 kit,oil-infused; ammonia-free,6802.52,393,0.378,0.048,147997.37,10753,0.201
HC0065,Manic Panic Classic Cream Neon Green,Manic Panic,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,Vivid,Evergreen,aktiv,low_stock,False,9.24,1 kit,high pigment; no peroxide,1518.45,181,0.426,-0.015,29452.42,3857,0.035
HC0066,Crazy Color Semi Permanent Silver Grey,Crazy Color,Beauty > Hair Coloration,Toner / Gloss,Silver/Grey,Evergreen,aktiv,in_stock,False,15.82,200 ml,brass neutralising; shine boost,4176.08,312,0.485,0.124,82537.39,5047,0.135
HC0067,Schwarzkopf Poly Palette Smoky Blonde,Schwarzkopf,Beauty > Hair Coloration,Toner / Gloss,Ash Blonde,Evergreen,inaktiv,out_of_stock,False,14.7,60 ml,clear gloss; shine boost,752.83,44,0.465,0.547,9514.88,568,0.659
HC0068,Bleach London Super Cool Colour Mulled Wine,Bleach London,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,Winter,Winter,aktiv,in_stock,False,13.74,200 ml,high pigment; wash-out,50.25,3,0.501,0.102,1726.28,121,0.142
HC0069,ZenBeauty Private Label Root Fix Dark Blonde,ZenBeauty Private Label,Beauty > Hair Coloration,Toner / Gloss,Blonde,Evergreen,inaktiv,in_stock,True,4.63,200 ml,colour refresh; clear gloss,6409.84,1597,0.499,-0.288,57920.43,14688,-0.131
HC0070,Wella Blondor Light Blonde,Wella,Beauty > Hair Coloration,Permanent Color,Blonde,Evergreen,aktiv,out_of_stock,False,12.3,60 ml,multi-application; grey coverage,14892.82,1172,0.196,0.414,269228.58,26611,0.263
HC0071,got2b Metallics Dark Blonde,got2b,Beauty > Hair Coloration,Root Touch-Up,Blonde,Evergreen,aktiv,in_stock,False,18.36,200 ml,brush-on; temporary,3345.67,182,0.262,0.157,22753.36,1261,0.09
HC0072,Clairol Nice'n Easy Apricot Copper,Clairol,Beauty > Hair Coloration,Toner / Gloss,Copper,Evergreen,aktiv,low_stock,False,8.37,1 kit,colour refresh; bonding,1464.44,201,0.311,0.128,29560.44,3079,0.061
HC0073,Directions Semi Permanent Pearl Blonde,Directions,Beauty > Hair Coloration,Bleach / Lightener,Ash Blonde,Evergreen,aktiv,low_stock,False,7.61,2 x 1 kit,cream bleach; bond builder,1356.22,184,0.352,0.432,33157.81,5146,0.514
HC0074,got2b Metallics Ruby Red,got2b,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,Red,Evergreen,aktiv,in_stock,False,15.57,100 ml,no peroxide; high pigment,3504.46,265,0.26,0.059,77364.21,5663,0.059
HC0075,Crazy Color Platinum Toner Honey Blonde,Crazy Color,Beauty > Hair Coloration,Root Touch-Up,Blonde,Evergreen,aktiv,in_stock,False,9.11,150 ml,brush-on; 10 minute,2529.39,283,0.37,-0.433,47320.04,5471,-0.494
HC0076,Goldwell Colorance Coral Rose,Goldwell,Beauty > Hair Coloration,Root Touch-Up,Summer,Summer,aktiv,in_stock,False,13.38,1 kit,grey coverage; temporary,6232.48,550,0.188,-0.136,112597.21,7148,-0.261
HC0077,Garnier Movida Lavender Mist,Garnier,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,Pastel,Evergreen,aktiv,in_stock,False,12.11,100 ml,direct dye; no peroxide,1872.06,170,0.457,0.16,37447.38,3368,0.049
HC0078,Madison Reed Color Reviving Gloss Neon Green,Madison Reed,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,Vivid,Evergreen,aktiv,in_stock,False,31.72,150 ml,no peroxide; high pigment,1784.82,66,0.296,-0.162,58566.77,2145,-0.085
HC0079,John Frieda Defy Grey Dark Blonde,John Frieda,Beauty > Hair Coloration,Permanent Color,Blonde,Evergreen,inaktiv,in_stock,False,13.42,1 kit,oil-infused; salon inspired,10637.29,788,0.22,0.321,183359.8,15341,0.143
HC0080,Directions Pastel Toner Neon Green,Directions,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,Vivid,Evergreen,aktiv,in_stock,False,17.66,1 kit,no peroxide; vegan,637.5,32,0.25,0.47,32814.86,2224,0.649
HC0081,Schwarzkopf Brilliance Light Blonde,Schwarzkopf,Beauty > Hair Coloration,Permanent Color,Blonde,Evergreen,aktiv,low_stock,False,12.37,200 ml,grey coverage; salon inspired,7789.23,571,0.283,-0.264,69911.75,5688,-0.179
HC0082,Goldwell Topchic Coral Rose,Goldwell,Beauty > Hair Coloration,Bleach / Lightener,Summer,Summer,aktiv,in_stock,False,13.58,100 ml,bond builder; cream bleach,783.37,68,0.469,-0.439,22546.74,1553,-0.384
HC0083,Madison Reed Root Touch Up Pearl Blonde,Madison Reed,Beauty > Hair Coloration,Permanent Color,Ash Blonde,Evergreen,aktiv,in_stock,False,23.71,200 ml,salon inspired; ammonia-free,11148.18,468,0.368,0.088,226316.3,9995,0.147
HC0084,Crazy Color Semi Permanent Smoky Blonde,Crazy Color,Beauty > Hair Coloration,Root Touch-Up,Ash Blonde,Evergreen,aktiv,in_stock,False,17.58,150 ml,grey coverage; 10 minute,1488.32,93,0.54,-0.005,33605.85,1949,-0.165
HC0085,Bleach London White Toner Deep Auburn,Bleach London,Beauty > Hair Coloration,Root Touch-Up,Auburn,Evergreen,inaktiv,low_stock,False,15.3,1 kit,temporary; brush-on,4282.82,244,0.193,-0.041,121014.24,9651,0.056
HC0086,ZenBeauty Private Label Nature Color Neon Green,ZenBeauty Private Label,Beauty > Hair Coloration,Root Touch-Up,Vivid,Evergreen,aktiv,in_stock,True,4.58,200 ml,10 minute; grey coverage,244.68,54,0.519,-0.22,24312.93,5964,-0.234
HC0087,Manic Panic High Voltage Sunlit Peach,Manic Panic,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,Summer,Summer,inaktiv,in_stock,False,13.1,1 kit,wash-out; no peroxide,2049.07,162,0.49,-0.31,20859.05,1814,-0.132
HC0088,got2b Metallics Electric Blue,got2b,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,Vivid,Evergreen,aktiv,in_stock,False,18.78,2 x 1 kit,wash-out; no peroxide,2741.08,133,0.402,-0.403,59276.93,3489,-0.459
HC0089,Manic Panic High Voltage Caramel Brown,Manic Panic,Beauty > Hair Coloration,Root Touch-Up,Medium Brown,Evergreen,aktiv,low_stock,False,8.85,2 x 1 kit,spray; 10 minute,18055.52,1829,0.261,0.197,433515.65,44541,0.349
HC0090,Naturtint Permanent Hair Color Honey Blonde,Naturtint,Beauty > Hair Coloration,Root Touch-Up,Blonde,Evergreen,aktiv,in_stock,False,14.99,150 ml,spray; temporary,4480.97,352,0.227,0.55,104387.62,8585,0.542
HC0091,Herbatint Vegetal Color Neon Green,Herbatint,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,Vivid,Evergreen,aktiv,low_stock,False,8.96,60 ml,wash-out; high pigment,453.41,48,0.305,-0.404,23770.74,2364,-0.273
HC0092,Madison Reed Color Reviving Gloss Caramel Brown,Madison Reed,Beauty > Hair Coloration,Permanent Color,Medium Brown,Evergreen,inaktiv,low_stock,False,34.09,100 ml,ammonia-free; salon inspired,3307.78,107,0.236,0.097,72345.19,2034,-0.017
HC0093,Wella Color Fresh Pearl Blonde,Wella,Beauty > Hair Coloration,Color Care Add-on,Ash Blonde,Evergreen,aktiv,in_stock,False,13.1,200 ml,UV protection; bond repair,159.43,10,0.345,-0.433,16815.86,1334,-0.353
HC0094,Revlon Colorsilk Espresso Brown,Revlon,Beauty > Hair Coloration,Permanent Color,Dark Brown,Evergreen,aktiv,in_stock,False,8.15,150 ml,oil-infused; salon inspired,239.82,28,0.212,0.542,16312.58,2347,0.596
HC0095,Garnier Olia Neon Green,Garnier,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,Vivid,Evergreen,aktiv,low_stock,False,15.86,200 ml,vegan; direct dye,132.04,9,0.199,-0.376,18579.31,1187,-0.223
HC0096,eSalon Custom Color Set Mocha Brown,eSalon,Beauty > Hair Coloration,Permanent Color,Dark Brown,Evergreen,aktiv,in_stock,False,28.01,1 kit,ammonia-free; multi-application,17170.56,690,0.211,0.295,225925.99,8954,0.24
HC0097,ZenBeauty Private Label Gloss Lab Beach Blonde,ZenBeauty Private Label,Beauty > Hair Coloration,Toner / Gloss,Summer,Summer,aktiv,in_stock,True,5.77,100 ml,shine boost; colour refresh,6825.59,1335,0.46,0.262,57689.89,11207,0.31
HC0098,Schwarzkopf Brilliance Light Golden Brown,Schwarzkopf,Beauty > Hair Coloration,Color Care Add-on,Light Brown,Evergreen,inaktiv,in_stock,False,10.74,200 ml,sulfate-free; UV protection,22.4,2,0.346,0.329,16097.94,1207,0.41
HC0099,Kristin Ess Rose Gold Temporary Tint Chestnut Brown,Kristin Ess,Beauty > Hair Coloration,Permanent Color,Medium Brown,Evergreen,aktiv,in_stock,False,25.73,2 x 1 kit,multi-application; oil-infused,8778.58,313,0.302,0.499,160101.52,5277,0.439
HC0100,eSalon Camo Mist Warm Auburn,eSalon,Beauty > Hair Coloration,Root Touch-Up,Auburn,Evergreen,inaktiv,in_stock,False,30.11,60 ml,spray; grey coverage,3661.17,144,0.31,-0.17,82156.82,3142,-0.067
HC0101,Bleach London White Toner Cool Ash Blonde,Bleach London,Beauty > Hair Coloration,Permanent Color,Ash Blonde,Evergreen,inaktiv,in_stock,False,16.54,60 ml,oil-infused; ammonia-free,33543.34,2024,0.36,0.148,332008.7,19463,0.178
HC0102,dpHUE Color Boosting Gloss Ultra Violet,dpHUE,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,Vivid,Evergreen,aktiv,in_stock,False,29.51,1 kit,wash-out; direct dye,245.9,9,0.184,-0.191,18199.67,612,-0.187
HC0103,Arctic Fox Resurrected Almond Brown,Arctic Fox,Beauty > Hair Coloration,Root Touch-Up,Light Brown,Evergreen,inaktiv,in_stock,False,9.49,2 x 1 kit,10 minute; spray,1778.31,188,0.308,-0.15,34836.62,4087,-0.038
HC0104,Herbatint Vegetal Color Dark Blonde,Herbatint,Beauty > Hair Coloration,Root Touch-Up,Blonde,Evergreen,aktiv,low_stock,False,7.85,100 ml,10 minute; grey coverage,3206.65,375,0.336,0.255,30171.15,4099,0.149
HC0105,Bleach London Total Bleach Hazelnut Brown,Bleach London,Beauty > Hair Coloration,Permanent Color,Medium Brown,Evergreen,aktiv,in_stock,False,12.14,100 ml,ammonia-free; grey coverage,14887.66,1307,0.462,-0.153,189795.44,18231,-0.112
HC0106,Madison Reed Radiant Hair Color Caramel Brown,Madison Reed,Beauty > Hair Coloration,Permanent Color,Medium Brown,Evergreen,aktiv,in_stock,False,25.13,150 ml,grey coverage; salon inspired,2560.14,104,0.306,0.001,72625.74,2494,-0.16
HC0107,Kristin Ess Rose Gold Temporary Tint Light Blonde,Kristin Ess,Beauty > Hair Coloration,Color Care Add-on,Blonde,Evergreen,aktiv,in_stock,False,26.09,300 ml,mask; UV protection,392.93,14,0.406,0.323,6860.64,302,0.321
