competitor_product_id,competitor_product_name,brand,category,subcategory,shade_group,price_eur,rank_or_popularity_signal,signal_score_0_100,source,trend_score_12w_pct,observed_date
CM057,dpHUE Permanent Intense Red,dpHUE,Beauty > Hair Coloration,Men's Color,Red,16.81,867,21.3,rossmann.de,-0.226,2026-07-01
CM058,Wella Gloss Honey Blonde,Wella,Beauty > Hair Coloration,Permanent Color,Blonde,23.49,843,12.5,google_trends,0.236,2026-07-01
CM059,got2b Semi-Permanent Soft Black,got2b,Beauty > Hair Coloration,Men's Color,Black,8.68,943,0,tiktok_shop_signal,0.148,2026-07-01
CM060,Syoss Root Soft Black,Syoss,Beauty > Hair Coloration,Bleach / Lightener,Black,29.5,125,87.4,douglas.de,0.579,2026-07-01
CM061,Syoss Color Hazelnut Brown,Syoss,Beauty > Hair Coloration,Bleach / Lightener,Medium Brown,15.96,725,34.0,flaconi.de,0.278,2026-07-01
CM062,Naturtint Root Natural Black,Naturtint,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,Black,21.05,974,3.9,google_trends,0.65,2026-07-01
CM063,got2b Color Coral Rose,got2b,Beauty > Hair Coloration,Permanent Color,Summer,11.35,818,9.6,dm.de,0.197,2026-07-01
CM064,Goldwell Root Copper Glow,Goldwell,Beauty > Hair Coloration,Root Touch-Up,Copper,10.23,790,32.6,dm.de,-0.329,2026-07-01
CM065,John Frieda Permanent Frosted Chestnut,John Frieda,Beauty > Hair Coloration,Permanent Color,Winter,20.82,978,8.6,dm.de,-0.051,2026-07-01
CM066,Manic Panic Care Dark Blonde,Manic Panic,Beauty > Hair Coloration,Toner / Gloss,Blonde,7.4,682,24.2,amazon.de,0.163,2026-07-01
CM067,Directions Permanent Apricot Copper,Directions,Beauty > Hair Coloration,Root Touch-Up,Copper,18.63,434,48.9,flaconi.de,0.461,2026-07-01
CM068,Goldwell Permanent Pastel Pink,Goldwell,Beauty > Hair Coloration,Permanent Color,Pastel,5.04,350,79.3,google_trends,-0.126,2026-07-01
CM069,Clairol Care Burgundy Red,Clairol,Beauty > Hair Coloration,Color Care Add-on,Red,17.63,298,71.9,dm.de,0.557,2026-07-01
CM070,Directions Care Chestnut Brown,Directions,Beauty > Hair Coloration,Root Touch-Up,Medium Brown,25.87,536,47.1,douglas.de,-0.302,2026-07-01
CM071,Wella Color Burgundy Red,Wella,Beauty > Hair Coloration,Color Care Add-on,Red,15.04,97,91.9,google_trends,0.218,2026-07-01
CM072,Naturtint Color Pearl Silver,Naturtint,Beauty > Hair Coloration,Root Touch-Up,Silver/Grey,4.41,759,30.6,rossmann.de,0.436,2026-07-01
CM073,Kristin Ess Care Apricot Copper,Kristin Ess,Beauty > Hair Coloration,Permanent Color,Copper,12.15,742,27.2,google_trends,0.1,2026-07-01
CM074,Naturtint Gloss Sunlit Peach,Naturtint,Beauty > Hair Coloration,Root Touch-Up,Summer,8.8,765,38.1,amazon.de,0.522,2026-07-01
CM075,Syoss Color Blue Black,Syoss,Beauty > Hair Coloration,Root Touch-Up,Black,7.02,176,88.8,flaconi.de,0.342,2026-07-01
